,Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
0,Avery Williams,16.2,18,292,0,3,1,56,19,1
1,Tremon Smith,13.2,4,53,0,1,0,26,2,0
2,Kalif Raymond,13.2,20,264,1,3,2,47,20,1
3,Pharoh Cooper,13.0,9,117,0,1,0,28,6,0
4,Keisean Nixon,12.7,11,140,0,1,0,24,0,0
5,Marquez Callaway,12.5,2,25,0,1,0,21,4,0
6,Marcus Jones,12.5,29,362,1,5,1,84,8,1
7,Kyle Philips,12.4,5,62,0,1,1,46,2,2
8,Donovan Peoples-Jones,12.4,18,223,1,2,1,76,10,0
9,Kendall Hinton,12.3,3,37,0,0,0,17,2,0
10,Devin Duvernay,11.9,16,190,0,2,2,46,18,1
11,DeAndre Carter,11.7,29,339,0,4,0,28,17,1
12,Braxton Berrios,11.4,21,240,0,2,0,22,28,1
13,Jamison Crowder,11.1,9,100,0,1,0,20,4,1
14,Ray-Ray McCloud,10.8,33,356,0,3,0,35,21,1
15,C.J. Board,10.5,14,147,0,0,0,19,5,1
16,Jaelon Darden,10.4,33,345,0,2,0,24,19,0
17,KaVontae Turpin,10.4,29,303,0,4,1,52,26,3
18,Trent Taylor,10.3,33,340,0,5,0,27,19,2
19,Deven Thompkins,10.2,6,61,0,0,0,14,10,1
20,Nyheim Hines,9.8,27,264,0,3,0,28,14,2
21,Rashid Shaheed,9.6,20,193,0,1,1,42,25,0
22,Desmond King,9.4,33,309,0,2,0,31,16,1
23,Britain Covey,9.3,33,308,0,3,0,27,18,2
24,Randall Cobb,9.2,4,37,0,0,0,15,1,0
0,Raheem Blackshear,9.2,6,55,0,1,0,21,0,1
1,Mecole Hardman,9.2,6,55,0,2,0,22,2,1
2,Dante Pettis,9.1,18,163,0,2,0,27,8,1
3,Keke Coutee,8.9,17,152,0,0,0,19,9,3
4,Jarvis Landry,8.5,2,17,0,0,0,14,1,0
5,Montrell Washington,8.5,32,271,0,3,0,30,14,4
6,Jamal Agnew,8.2,25,205,0,1,0,22,12,0
7,Robert Woods,8.2,11,90,0,1,0,21,14,1
8,Justin Watson,7.8,5,39,0,0,0,17,3,0
9,Dax Milne,7.8,40,311,0,0,0,19,22,1
10,Khalil Shakir,7.7,3,23,0,0,0,17,3,0
11,DeVonta Smith,7.5,2,15,0,0,0,12,0,0
12,Ced Wilson,7.5,13,97,0,0,0,15,16,0
13,Brandon Powell,7.4,24,177,0,1,0,22,19,1
14,DeeJay Dallas,7.3,14,102,0,1,0,20,11,1
15,Richie James,7.2,24,174,0,2,0,23,14,3
16,Velus Jones,7.0,5,35,0,0,0,19,1,2
17,Tyler Lockett,7.0,1,7,0,0,0,7,8,1
18,Amari Rodgers,7.0,20,139,0,1,0,20,15,4
19,Gunner Olszewski,6.9,8,55,0,1,0,20,5,2
20,Hunter Renfrow,6.7,11,74,0,0,0,17,4,0
21,Greg Dortch,6.6,26,172,0,0,0,18,5,1
22,Isaiah Rodgers,6.5,2,13,0,0,0,13,1,1
23,Jalen Reagor,6.4,26,167,0,2,0,25,14,4
24,Alex Erickson,6.2,4,25,0,0,0,13,4,0
0,Christian Kirk,6.2,4,25,0,0,0,10,2,0
1,Shi Smith,6.2,23,143,0,1,0,22,9,3
2,Skyy Moore,6.1,14,86,0,0,0,15,4,3
3,Kadarius Toney,6.1,10,61,0,0,0,9,4,1
4,Keelan Cole,6.1,13,79,0,0,0,13,8,1
5,Demetric Felton,6.0,7,42,0,0,0,15,1,1
6,James Proche,6.0,4,24,0,0,0,9,2,0
7,Myles Bryant,5.6,10,56,0,0,0,16,2,1
8,Steven Sims,5.5,19,105,0,1,0,24,13,3
9,Jevon Holland,4.5,4,18,0,0,0,8,10,1
10,Andre Roberts,4.5,4,18,0,0,0,10,6,1
11,Chester Rogers,4.5,4,18,0,0,0,7,4,1
12,Dallis Flowers,4.3,3,13,0,0,0,9,8,1
13,Deonte Harty,2.7,3,8,0,0,0,12,7,1
14,Dontrell Hilliard,2.0,2,4,0,0,0,4,0,0
15,Adoree' Jackson,1.7,3,5,0,0,0,3,1,0
16,DJ Turner,1.5,2,3,0,0,0,3,0,1
17,Jake Gervase,1.0,1,1,0,0,0,1,0,0
18,Xavier Crawford,0.0,1,0,0,0,0,0,0,1
19,Nick Cross,0.0,1,0,0,0,0,0,0,1
20,Dee Delaney,0.0,1,0,0,0,0,0,0,1
21,Trestan Ebner,0.0,0,0,0,0,0,0,1,0
22,Darnay Holmes,0.0,1,0,0,0,0,0,0,0
23,Amani Hooker,0.0,1,0,0,0,0,0,0,1
24,Brandon Johnson,0.0,1,0,0,0,0,0,0,1
0,Tyron Johnson,0.0,1,0,0,0,0,0,0,0
1,Taiwan Jones,0.0,1,0,0,0,0,0,0,1
2,Mason Kinsey,0.0,2,0,0,0,0,0,3,1
3,Chris Lammons,0.0,1,0,0,0,0,0,0,0
4,Jason Pinnock,0.0,1,0,0,0,0,0,0,1
5,Jalen Ramsey,0.0,0,5,0,0,0,5,0,0
6,Freddie Swain,0.0,1,0,0,0,0,0,0,1
7,Keith Taylor,0.0,1,0,0,0,0,0,0,1
8,Josh Thompson,0.0,1,0,0,0,0,0,0,1
9,Jaylen Waddle,0.0,0,0,0,0,0,0,1,0
10,,0.0,0,0,0,0,0,0,0,0
11,,0.0,0,0,0,0,0,0,0,0
12,,0.0,0,0,0,0,0,0,0,0
13,,0.0,0,0,0,0,0,0,0,0
14,,0.0,0,0,0,0,0,0,0,0
15,,0.0,0,0,0,0,0,0,0,0
16,,0.0,0,0,0,0,0,0,0,0
17,,0.0,0,0,0,0,0,0,0,0
18,,0.0,0,0,0,0,0,0,0,0
19,,0.0,0,0,0,0,0,0,0,0
20,,0.0,0,0,0,0,0,0,0,0
21,,0.0,0,0,0,0,0,0,0,0
22,,0.0,0,0,0,0,0,0,0,0
23,,0.0,0,0,0,0,0,0,0,0
24,,0.0,0,0,0,0,0,0,0,0
0,,0.0,0,0,0,0,0,0,0,0
1,,0.0,0,0,0,0,0,0,0,0
2,,0.0,0,0,0,0,0,0,0,0
3,,0.0,0,0,0,0,0,0,0,0
4,,0.0,0,0,0,0,0,0,0,0
5,,0.0,0,0,0,0,0,0,0,0
6,,0.0,0,0,0,0,0,0,0,0
7,,0.0,0,0,0,0,0,0,0,0
8,,0.0,0,0,0,0,0,0,0,0
9,,0.0,0,0,0,0,0,0,0,0
10,,0.0,0,0,0,0,0,0,0,0
11,,0.0,0,0,0,0,0,0,0,0
12,,0.0,0,0,0,0,0,0,0,0
13,,0.0,0,0,0,0,0,0,0,0
14,,0.0,0,0,0,0,0,0,0,0
15,,0.0,0,0,0,0,0,0,0,0
16,,0.0,0,0,0,0,0,0,0,0
17,Tyreek Hill,-2.0,2,-4,0,0,0,-2,2,0
