,Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
0,Corliss Waitman,52.1,42.6,298,7,63,365,1,0,1,1,0,5,47,0,0
1,A.J. Cole,50.0,42.5,2721,64,71,3202,28,7,5,7,17,28,341,0,0
2,Tommy Townsend,49.8,46.3,1620,35,68,1744,18,4,5,3,9,14,64,0,0
3,Jack Fox,49.2,42.3,2750,65,70,3198,17,2,11,7,10,35,308,0,0
4,Andy Lee,49.0,41.9,2136,51,62,2501,12,3,5,5,8,30,265,0,0
5,Matt Ammendola,48.5,42.5,255,6,65,291,2,2,0,0,1,3,36,0,0
6,Bryan Anger,48.4,44.6,2900,65,63,3143,24,5,7,4,24,25,163,0,0
7,Tress Way,48.4,42.1,2524,60,66,2901,22,5,8,7,14,26,237,0,0
8,Logan Cooke,48.0,45.0,2833,63,68,3026,27,8,8,1,26,20,173,0,0
9,Lachlan Edwards,47.9,41.6,1581,38,62,1821,8,2,2,2,9,23,200,0,0
10,Blake Gillikin,47.7,42.0,3485,83,63,3956,29,7,11,4,18,43,391,0,0
11,Ty Long,47.5,39.3,1728,44,69,2091,10,6,4,2,5,27,323,0,0
12,Sam Martin,47.4,44.1,2869,65,68,3083,28,9,7,3,24,22,154,0,0
13,Mitch Wishnowsky,47.4,42.7,2304,54,67,2560,21,7,10,5,15,17,156,0,0
14,Jake Bailey,47.3,42.0,2058,49,71,2316,23,8,6,6,13,16,138,0,0
15,Cameron Johnston,47.2,42.2,3670,87,69,4105,36,7,10,4,22,44,355,0,0
16,Thomas Morstead,47.2,42.0,1892,45,64,2123,18,3,4,2,17,19,191,0,0
17,Corey Bojorquez,47.2,40.5,2105,52,82,2453,17,9,7,4,12,20,268,1,0
18,Jordan Berry,47.1,41.9,3225,77,64,3624,26,11,10,3,15,38,339,1,0
19,Michael Dickson,46.9,41.7,3461,83,68,3895,40,6,13,10,22,32,234,0,0
20,Kevin Huber,46.4,41.0,2707,66,61,3062,22,10,7,6,15,28,235,0,0
21,Pat O'Donnell,46.2,38.5,2387,62,72,2862,19,3,7,5,13,34,375,0,0
22,Jamie Gillan,46.0,41.5,1660,40,65,1842,14,7,3,1,12,17,162,0,0
23,Braden Mann,45.7,41.6,1704,41,63,1875,14,9,9,1,6,16,151,0,0
24,Brett Kern,45.7,41.2,1896,46,59,2101,17,10,7,1,11,17,185,0,0
0,Cameron Nizialek,45.4,39.8,716,18,62,817,6,3,3,2,3,7,61,0,0
1,Michael Palardy,45.3,40.6,3127,77,65,3489,31,4,12,5,27,29,262,0,0
2,Rigoberto Sanchez,45.3,40.3,2340,58,79,2627,23,7,8,1,15,27,267,0,0
3,Johnny Hekker,45.0,43.4,2172,50,59,2252,23,8,8,1,25,8,60,0,0
4,Robbie Gould,45.0,45.0,90,2,47,90,1,0,1,0,1,0,0,0,0
5,Matt Haack,44.5,39.8,1988,50,63,2224,17,8,9,7,11,15,96,0,0
6,Riley Dixon,44.4,39.5,2926,74,63,3283,24,8,17,6,15,28,237,0,0
7,Sam Koch,44.4,40.0,2841,71,61,3149,26,10,10,4,16,31,228,0,0
8,Dustin Colquitt,44.2,38.9,1867,48,66,2124,13,9,5,3,10,21,197,0,0
9,Arryn Siposs,43.9,38.8,2131,55,68,2416,17,6,10,3,12,24,225,0,0
10,Bradley Pinion,43.2,39.6,2176,55,65,2378,22,8,8,2,17,20,162,0,0
11,Johnny Townsend,42.8,36.8,478,13,63,556,2,2,0,1,5,5,58,0,0
12,Pressley Harvin III,42.6,38.0,2661,70,64,2982,25,15,6,3,19,27,261,0,0
13,Joseph Charlton,40.5,38.0,913,24,57,973,8,3,2,1,14,4,40,0,0
14,Zane Gonzalez,40.0,20.0,20,1,40,40,0,0,0,1,0,0,0,0,0
15,J.K. Scott,39.8,39.8,159,4,47,159,0,0,0,0,4,0,0,0,0
16,Ryan Winslow,39.1,37.4,599,16,46,625,3,1,3,0,3,9,26,0,0
17,Sterling Hofrichter,37.8,34.2,205,6,45,227,3,0,0,0,4,2,22,0,0
18,Younghoe Koo,35.0,35.0,70,2,45,70,0,1,1,0,0,0,0,0,0
19,Tristan Vizcaino,32.0,26.0,26,1,32,32,1,0,0,0,0,1,6,0,0
20,Harrison Butker,31.0,31.0,31,1,31,31,1,0,1,0,0,0,0,0,0
